,index,date,time,tweet,language,parse,Category
2094,2094,26/02/2022,02:20:35,important thing kiew nowars anunnaki,en,important thing kiew nowars anunnaki,_
2095,2095,26/02/2022,02:20:26,whats excuse born serve wife 3,en,whats excuse born serve wife 3,_
2096,2096,26/02/2022,02:20:16,whoever americans allies enemies — madame nhu ukrainerussiaconflict,en,whoever americans allies enemies — madame nhu ukrainerussiaconflict,_
2097,2097,26/02/2022,02:20:09,bombs dropping everywhere via opensea nftcommunity nftartist nft,en,bombs dropping everywhere via opensea nftcommunity nftartist nft,_
2098,2098,26/02/2022,02:19:56,im ready drafted,en,im ready drafted,_
2099,2099,26/02/2022,02:19:32,ukrainerussiaconflict syria iraq afghanistan palestine kashmir,en,ukrainerussiaconflict syria iraq afghanistan palestine kashmir,_
2100,2100,26/02/2022,02:19:22,shown nearly month ago question rhetorical threat feel intervene given recent news recently reported movement icbms probably related,en,shown nearly month ago question rhetorical threat feel intervene given recent news recently reported movement icbms probably related,_
2101,2101,26/02/2022,02:19:19,,en,,_
2102,2102,26/02/2022,02:18:34,safe hands dont worry,en,safe hands dont worry,_
2103,2103,26/02/2022,02:18:15,stand position kashmir disputed territory deployed ambassadors clear reply modisfailedforeignpolicy balochistanispakistan,en,stand position kashmir disputed territory deployed ambassadors clear reply modisfailedforeignpolicy balochistanispakistan,_
2104,2104,26/02/2022,02:18:12,prayingforukraine toystory disney check tina celentanos video tiktok,en,prayingforukraine toystory disney check tina celentanos video tiktok,_
2105,2105,26/02/2022,02:17:29,protester predicting hitler russianukraineconflict russianinvasion russianarmy russiaukraine ukraineconflict,en,protester predicting hitler russianukraineconflict russianinvasion russianarmy russiaukraine ukraineconflict,_
2106,2106,26/02/2022,02:17:18,never forget dont blindly trust power wikileaks freeassange misinformation lies,en,never forget dont blindly trust power wikileaks freeassange misinformation lies,_
2107,2107,26/02/2022,02:16:14,2022 still africans defend 2022 africans take side countries colonized killed africans choose visa africans better warinukraine,en,2022 still africans defend 2022 africans take side countries colonized killed africans choose visa africans better warinukraine,_
2108,2108,26/02/2022,02:15:59,death certificate needed ipd services wtf imrankhan imrankhanpti ptiofficial fawadchaudhry lqvsiu lahoreqalandars iuvlq,en,death certificate needed ipd services wtf imrankhan imrankhanpti ptiofficial fawadchaudhry lqvsiu lahoreqalandars iuvlq,_
2109,2109,26/02/2022,02:15:51,came wwii,en,came wwii,_
2110,2110,26/02/2022,02:15:46,prayersforukraine warinukraine endhate 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏check tina celentanos video tiktok,en,prayersforukraine warinukraine endhate 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏check tina celentanos video tiktok,_
2111,2111,26/02/2022,02:14:14,gotta get deployed room fighting demons anyways 😭😂,en,gotta get deployed room fighting demons anyways 😭😂,_
2112,2112,26/02/2022,02:13:06,buh actually said elevy help solve evacuation issues aahh said didnt say lie lie saaa hell free thenanaaba dont mind dear wai much kisses😘😘 elevyfordevelopment corruption,en,buh actually said elevy help solve evacuation issues aahh said didnt say lie lie saaa hell free thenanaaba dont mind dear wai much kisses😘😘 elevyfordevelopment corruption,_
2113,2113,26/02/2022,02:12:54,apartment complex hit missile ukraina ukrayna ukraina ukrainerussie russiaukraine ukraineconflict russiawar,en,apartment complex hit missile ukraina ukrayna ukraina ukrainerussie russiaukraine ukraineconflict russiawar,_
2114,2114,26/02/2022,02:12:47,took part joint twitter exercise 💭,en,took part joint twitter exercise 💭,_
2115,2115,26/02/2022,02:12:46,administration threatens west symmetrical asymmetrical response sanctionswwiii,en,administration threatens west symmetrical asymmetrical response sanctionswwiii,_
2116,2116,26/02/2022,02:12:34,continues 3 could break out‼️😕,en,continues 3 could break out‼️😕,_
2117,2117,26/02/2022,02:12:34,reported icbm movement western warinukraine worldar3,en,reported icbm movement western warinukraine worldar3,_
2118,2118,26/02/2022,02:12:31,understand watch clarity europe,en,understand watch clarity europe,_
